Record #:  0
Notes :


19/03/201910:26:57Record #:  0
Notes :


19/03/201910:26:57
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.444462E-3	3.266716E-3	-3.986311E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.509407E-3	3.271532E-3	-3.887320E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.514795E-3	3.289509E-3	-3.955889E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.526573E-3	3.239346E-3	-4.268599E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.544121E-3	3.141069E-3	-4.633665E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.508501E-3	3.089380E-3	-4.872990E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.447609E-3	3.077555E-3	-5.028820E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.419285E-3	3.080273E-3	-5.010176E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.407364E-3	3.143358E-3	-4.675102E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.421240E-3	3.219843E-3	-4.273701E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.471975E-3	3.266001E-3	-4.005957E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.528004E-3	3.288317E-3	-3.893423E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.574400E-3	3.265333E-3	-3.985977E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.603153E-3	3.196192E-3	-4.294538E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.568296E-3	3.148890E-3	-4.613352E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.529005E-3	3.094673E-3	-4.857874E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.497868E-3	3.041792E-3	-5.026388E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.464346E-3	3.035975E-3	-5.013371E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.443985E-3	3.088140E-3	-4.709530E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.424149E-3	3.184700E-3	-4.298258E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.427439E-3	3.272915E-3	-3.998184E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.490000E-3	3.282499E-3	-3.899002E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.548794E-3	3.243780E-3	-4.001188E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.534679E-3	3.220844E-3	-4.262066E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.484468E-3	3.201437E-3	-4.569817E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.429298E-3	3.178644E-3	-4.786110E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
