CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Column1
0.023446214,-0.003001157,-0.011891274,0.399999975,0.399999952,0.399999952,0.399999952,0.399999952,
0.023471915,-0.003024137,-0.011975299,0.39999997,0.399999952,0.399999952,0.399999952,0.399999952,
0.023499396,-0.003041886,-0.01196013,0.399999964,0.399999952,0.399999952,0.399999952,0.399999952,
0.023528127,-0.003057286,-0.011873298,0.399999959,0.399999952,0.399999952,0.399999952,0.399999952,
0.023555548,-0.00307472,-0.011762322,0.399999955,0.399999952,0.399999952,0.399999952,0.399999952,
0.023578065,-0.003098208,-0.011677796,0.399999951,0.399999952,0.399999952,0.399999952,0.399999952,
0.023592533,-0.00312967,-0.011655927,0.399999949,0.399999952,0.399999952,0.399999952,0.399999952,
0.02359724,-0.003167382,-0.011704434,0.399999948,0.399999952,0.399999952,0.399999952,0.399999952,
0.023592382,-0.003205965,-0.011799012,0.399999948,0.399999952,0.399999952,0.399999952,0.399999952,
0.023579684,-0.003237798,-0.011893962,0.399999948,0.399999952,0.399999952,0.399999952,0.399999952,
0.023561414,-0.003255187,-0.011941654,0.399999949,0.399999952,0.399999952,0.399999952,0.399999952,
0.023539715,-0.003253003,-0.011911812,0.39999995,0.399999952,0.399999952,0.399999952,0.399999952,
0.023516697,-0.00323116,-0.011803508,0.399999951,0.399999952,0.399999952,0.399999952,0.399999952,
0.023495159,-0.003196057,-0.011645553,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023478554,-0.003159348,-0.011485685,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.0234694,-0.003133554,-0.011373927,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023467472,-0.003126508,-0.011344632,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023469788,-0.003138024,-0.01140179,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023472819,-0.003161036,-0.011516163,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023474131,-0.00318488,-0.011637503,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023471881,-0.003198045,-0.011714583,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023465173,-0.003192131,-0.011714497,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023456219,-0.003166971,-0.011635237,0.399999953,0.399999952,0.399999952,0.399999952,0.399999952,
0.023450159,-0.00313161,-0.011505885,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.02345127,-0.003099214,-0.01137423,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.02346037,-0.003081215,-0.011288989,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023475603,-0.003084138,-0.011282721,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.02349353,-0.003107583,-0.011358736,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023509413,-0.003143451,-0.011488044,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023518676,-0.003178779,-0.011620464,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023519443,-0.003201561,-0.011705027,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.02351349,-0.003205719,-0.011710089,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023504603,-0.003192455,-0.011634946,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023496162,-0.003168493,-0.011508748,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023490161,-0.003143492,-0.011378944,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023487305,-0.003127204,-0.011294858,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023486869,-0.003125762,-0.011289977,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023487064,-0.003139153,-0.011367499,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023486412,-0.003161872,-0.011497436,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023484734,-0.003185682,-0.011628933,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023482708,-0.003202386,-0.011711163,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023481,-0.003206372,-0.011712902,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023480459,-0.003197224,-0.011633891,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023482119,-0.003180264,-0.011503977,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.02348593,-0.003163639,-0.011370916,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023490293,-0.00315473,-0.011283321,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
0.023493221,-0.003157828,-0.011273786,0.399999952,0.399999952,0.399999952,0.399999952,0.399999952,
